id,title,content,date_str,year_abs,month,day,jd,am_day,source_type,source_database,source_url,language,category,subcategory,location,coordinates,people,places,keywords,confidence_score,data_hash,created_at,updated_at
315,Neolithic pottery find #6,Archaeological pottery from Neolithic period,-6500-06-15,-6500,6,15,-652901.5,-2391065.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_1_0,en,archaeological_find,pottery,Archaeological site 2,"36.859900, 14.188400",[],"[""Archaeological site 2""]","[""Neolithic"", ""Neolithic culture""]",0.7,4a327c6406e5ba2c165b1ccbbe65ef9a,2025-11-04 00:25:20,2025-11-04 00:25:20
316,Neolithic coins find #7,Archaeological coins from Neolithic period,-6500-06-15,-6500,6,15,-652901.5,-2391065.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_1_1,en,archaeological_find,coins,Archaeological site 2,"43.433900, 22.016300",[],"[""Archaeological site 2""]","[""Neolithic"", ""Neolithic culture""]",0.7,6621aa1b4bbd0e0a4328fefc905e2ef4,2025-11-04 00:25:20,2025-11-04 00:25:20
317,Neolithic tools find #8,Archaeological tools from Neolithic period,-6500-06-15,-6500,6,15,-652901.5,-2391065.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_1_2,en,archaeological_find,tools,Archaeological site 2,"42.894100, 13.729600",[],"[""Archaeological site 2""]","[""Neolithic"", ""Neolithic culture""]",0.7,525c498c0af5ca47064fc89204e5db7e,2025-11-04 00:25:20,2025-11-04 00:25:20
318,Neolithic jewelry find #9,Archaeological jewelry from Neolithic period,-6500-06-15,-6500,6,15,-652901.5,-2391065.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_1_3,en,archaeological_find,jewelry,Archaeological site 2,"42.276300, 22.379300",[],"[""Archaeological site 2""]","[""Neolithic"", ""Neolithic culture""]",0.7,edc10e9724af81131dd6a21032395070,2025-11-04 00:25:20,2025-11-04 00:25:20
319,Neolithic sculpture find #10,Archaeological sculpture from Neolithic period,-6500-06-15,-6500,6,15,-652901.5,-2391065.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_1_4,en,archaeological_find,sculpture,Archaeological site 2,"41.128500, 11.958900",[],"[""Archaeological site 2""]","[""Neolithic"", ""Neolithic culture""]",0.7,de0056b08d1f3808856a91ebf93b6526,2025-11-04 00:25:20,2025-11-04 00:25:20
320,Bronze Age pottery find #11,Archaeological pottery from Bronze Age period,-2100-06-15,-2100,6,15,954198.5,-783965.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_2_0,en,archaeological_find,pottery,Archaeological site 3,"52.863900, 19.004500",[],"[""Archaeological site 3""]","[""Bronze Age"", ""Bronze Age culture""]",0.7,f8e6c60b26bc7a18e87f75a2689ff0c8,2025-11-04 00:25:20,2025-11-04 00:25:20
321,Bronze Age coins find #12,Archaeological coins from Bronze Age period,-2100-06-15,-2100,6,15,954198.5,-783965.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_2_1,en,archaeological_find,coins,Archaeological site 3,"35.959300, 13.007300",[],"[""Archaeological site 3""]","[""Bronze Age"", ""Bronze Age culture""]",0.7,a754584a37e8215d8ad78f282d183168,2025-11-04 00:25:20,2025-11-04 00:25:20
322,Bronze Age tools find #13,Archaeological tools from Bronze Age period,-2100-06-15,-2100,6,15,954198.5,-783965.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_2_2,en,archaeological_find,tools,Archaeological site 3,"44.086400, 13.342500",[],"[""Archaeological site 3""]","[""Bronze Age"", ""Bronze Age culture""]",0.7,6c9018046f3a930b029772fc24215b74,2025-11-04 00:25:20,2025-11-04 00:25:20
323,Bronze Age jewelry find #14,Archaeological jewelry from Bronze Age period,-2100-06-15,-2100,6,15,954198.5,-783965.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_2_3,en,archaeological_find,jewelry,Archaeological site 3,"39.411900, 7.927600",[],"[""Archaeological site 3""]","[""Bronze Age"", ""Bronze Age culture""]",0.7,6168f018fb064900a7d2997cfcd31609,2025-11-04 00:25:20,2025-11-04 00:25:20
324,Bronze Age sculpture find #15,Archaeological sculpture from Bronze Age period,-2100-06-15,-2100,6,15,954198.5,-783965.5,archaeological,mock_open_context,https://opencontext.org/subjects/mock_2_4,en,archaeological_find,sculpture,Archaeological site 3,"45.024700, 12.664200",[],"[""Archaeological site 3""]","[""Bronze Age"", ""Bronze Age culture""]",0.7,d7ad956dd0e68175eef9beebcda8a98b,2025-11-04 00:25:20,2025-11-04 00:25:20
