id,year_abs,month,day,is_wikipedia,is_scientific,is_archaeological,confidence_score,title_length,content_length
1,1764,1,29,1,0,0,0.8,11,55
2,1311,6,13,1,0,0,0.8,10,34
3,2004,6,12,1,0,0,0.8,10,33
4,1964,11,20,1,0,0,0.8,12,165
5,1704,11,4,1,0,0,0.8,11,65
6,1919,8,30,1,0,0,0.8,11,404
7,1991,12,18,1,0,0,0.8,10,265
8,1980,12,25,1,0,0,0.8,10,315
9,1990,10,17,1,0,0,0.8,15,339
10,1915,8,12,1,0,0,0.8,11,177
11,1950,11,23,1,0,0,0.8,12,223
12,1696,4,26,1,0,0,0.8,11,64
13,1629,12,13,1,0,0,0.8,10,57
14,2012,12,30,1,0,0,0.8,10,282
15,1844,9,28,1,0,0,0.8,11,72
16,1914,8,18,1,0,0,0.8,11,76
17,1213,12,17,1,0,0,0.8,10,53
18,1732,4,1,1,0,0,0.8,10,63
19,1151,9,7,1,0,0,0.8,10,81
20,1962,8,21,1,0,0,0.8,11,60
21,1967,1,16,1,0,0,0.8,11,408
22,1923,12,24,1,0,0,0.8,10,218
23,1992,11,18,1,0,0,0.8,12,205
24,1942,9,11,1,0,0,0.8,11,164
25,1985,1,7,1,0,0,0.8,10,68
26,1886,8,4,1,0,0,0.8,10,86
27,1549,1,26,1,0,0,0.8,11,121
28,1925,12,29,1,0,0,0.8,10,335
29,1842,11,6,1,0,0,0.8,11,45
30,1923,1,4,1,0,0,0.8,10,226
31,1977,10,7,1,0,0,0.8,14,183
32,1923,9,15,1,0,0,0.8,11,137
33,1975,11,21,1,0,0,0.8,12,181
34,1908,10,18,1,0,0,0.8,15,128
35,1994,9,21,1,0,0,0.8,11,213
36,1960,10,9,1,0,0,0.8,14,205
37,1888,6,18,1,0,0,0.8,10,132
38,1895,10,18,1,0,0,0.8,15,54
39,1920,8,1,1,0,0,0.8,10,211
40,1990,8,19,1,0,0,0.8,11,166
41,1976,8,17,1,0,0,0.8,11,117
42,1838,11,24,1,0,0,0.8,12,82
43,1927,10,17,1,0,0,0.8,15,262
44,1858,1,2,1,0,0,0.8,10,179
45,1818,6,21,1,0,0,0.8,10,140
46,1959,8,17,1,0,0,0.8,11,341
47,1931,8,3,1,0,0,0.8,10,281
48,1719,8,19,1,0,0,0.8,11,69
49,1904,12,21,1,0,0,0.8,10,88
50,1683,9,25,1,0,0,0.8,11,55
51,2016,10,7,1,0,0,0.8,14,160
52,1680,10,26,1,0,0,0.8,15,54
53,1885,12,31,1,0,0,0.8,10,153
54,1827,4,11,1,0,0,0.8,11,52
55,2007,4,24,1,0,0,0.8,11,29
56,1931,9,25,1,0,0,0.8,11,340
57,1977,12,20,1,0,0,0.8,10,113
58,1594,6,14,1,0,0,0.8,10,59
59,1894,1,3,1,0,0,0.8,10,147
60,1976,6,11,1,0,0,0.8,10,242
61,1937,1,1,1,0,0,0.8,10,129
62,1980,12,23,1,0,0,0.8,10,124
63,1977,8,7,1,0,0,0.8,10,352
64,1966,6,11,1,0,0,0.8,10,98
65,1913,11,25,1,0,0,0.8,12,51
66,1521,12,13,1,0,0,0.8,10,49
67,1912,9,10,1,0,0,0.8,11,58
68,1962,8,9,1,0,0,0.8,10,287
69,1886,4,17,1,0,0,0.8,11,68
70,1904,8,22,1,0,0,0.8,11,188
71,1974,11,13,1,0,0,0.8,12,60
72,1872,4,11,1,0,0,0.8,11,107
73,1804,12,10,1,0,0,0.8,10,105
74,2003,8,23,1,0,0,0.8,11,157
75,1877,4,16,1,0,0,0.8,11,119
76,1925,6,26,1,0,0,0.8,10,227
77,1932,9,12,1,0,0,0.8,11,295
78,1891,9,22,1,0,0,0.8,11,203
79,1935,10,24,1,0,0,0.8,15,157
80,1939,4,19,1,0,0,0.8,11,236
81,1961,8,25,1,0,0,0.8,11,415
82,1947,11,15,1,0,0,0.8,12,72
83,1990,10,15,1,0,0,0.8,15,78
84,1945,1,12,1,0,0,0.8,11,263
85,1944,10,6,1,0,0,0.8,14,315
86,1955,12,31,1,0,0,0.8,10,57
87,1978,9,12,1,0,0,0.8,11,286
88,2001,12,25,1,0,0,0.8,10,152
89,1993,9,11,1,0,0,0.8,11,159
90,1876,12,17,1,0,0,0.8,10,53
91,1643,9,3,1,0,0,0.8,10,58
92,1923,6,15,1,0,0,0.8,10,129
93,1979,10,14,1,0,0,0.8,15,361
94,1622,4,15,1,0,0,0.8,11,43
95,1995,10,22,1,0,0,0.8,15,274
96,1755,9,21,1,0,0,0.8,11,81
97,1992,1,5,1,0,0,0.8,10,159
98,1862,10,16,1,0,0,0.8,15,178
99,1521,8,4,1,0,0,0.8,10,30
100,1946,12,24,1,0,0,0.8,10,355
101,1902,12,22,1,0,0,0.8,10,115
102,1986,4,27,1,0,0,0.8,11,216
103,1941,8,21,1,0,0,0.8,11,390
104,1997,6,30,1,0,0,0.8,10,128
105,1815,4,6,1,0,0,0.8,10,50
106,1820,12,26,1,0,0,0.8,10,41
107,1972,11,25,1,0,0,0.8,12,195
108,1621,6,24,1,0,0,0.8,10,94
109,1993,4,22,1,0,0,0.8,11,37
110,1949,11,2,1,0,0,0.8,11,102
111,1902,11,30,1,0,0,0.8,12,58
112,1326,11,25,1,0,0,0.8,12,38
113,1501,10,25,1,0,0,0.8,15,57
114,1988,11,17,1,0,0,0.8,12,143
115,1954,1,12,1,0,0,0.8,11,340
116,1925,10,13,1,0,0,0.8,15,240
117,1339,12,10,1,0,0,0.8,10,64
118,1993,8,23,1,0,0,0.8,11,244
119,1510,12,14,1,0,0,0.8,10,125
120,1818,6,29,1,0,0,0.8,10,58
121,1913,10,16,1,0,0,0.8,15,79
122,1932,9,10,1,0,0,0.8,11,259
123,1968,11,11,1,0,0,0.8,12,281
124,1926,12,13,1,0,0,0.8,10,187
125,2018,10,29,1,0,0,0.8,15,101
126,1757,11,15,1,0,0,0.8,12,153
127,1812,8,8,1,0,0,0.8,10,69
128,1712,8,7,1,0,0,0.8,10,59
129,1662,11,12,1,0,0,0.8,12,80
130,1860,4,28,1,0,0,0.8,11,64
131,1741,1,31,1,0,0,0.8,11,83
132,2001,4,9,1,0,0,0.8,10,196
133,1959,10,10,1,0,0,0.8,15,649
134,1939,10,2,1,0,0,0.8,14,59
135,1912,11,15,1,0,0,0.8,12,203
136,1945,1,20,1,0,0,0.8,11,375
137,1982,1,11,1,0,0,0.8,11,338
138,1918,10,5,1,0,0,0.8,14,194
139,1592,11,4,1,0,0,0.8,11,63
140,1816,4,6,1,0,0,0.8,10,140
141,1867,1,5,1,0,0,0.8,10,155
142,1874,11,27,1,0,0,0.8,12,113
143,1914,12,12,1,0,0,0.8,10,134
144,1924,9,28,1,0,0,0.8,11,87
145,1960,6,14,1,0,0,0.8,10,79
146,1932,6,17,1,0,0,0.8,10,380
147,1896,4,25,1,0,0,0.8,11,77
148,1914,10,28,1,0,0,0.8,15,293
149,2021,4,15,1,0,0,0.8,11,150
150,2000,1,26,1,0,0,0.8,11,117
151,1991,4,4,1,0,0,0.8,10,225
152,1932,8,22,1,0,0,0.8,11,65
153,1966,9,24,1,0,0,0.8,11,271
154,1929,8,25,1,0,0,0.8,11,39
155,1961,6,26,1,0,0,0.8,10,394
156,1927,11,13,1,0,0,0.8,12,49
157,1973,4,23,1,0,0,0.8,11,154
158,1527,4,14,1,0,0,0.8,11,70
159,1996,8,17,1,0,0,0.8,11,39
160,1905,12,27,1,0,0,0.8,10,52
161,1943,6,20,1,0,0,0.8,10,201
162,1974,12,22,1,0,0,0.8,10,349
163,1995,6,27,1,0,0,0.8,10,285
164,1936,8,4,1,0,0,0.8,10,95
165,1992,10,8,1,0,0,0.8,14,182
166,1997,4,6,1,0,0,0.8,10,132
167,1930,1,28,1,0,0,0.8,11,218
168,1984,1,30,1,0,0,0.8,11,319
169,1951,4,7,1,0,0,0.8,10,110
170,1929,4,11,1,0,0,0.8,11,253
171,1820,11,16,1,0,0,0.8,12,68
