year_abs,source_type,event_count,avg_confidence
-2100,archaeological,5,0.7
-850,archaeological,5,0.7
1000,archaeological,5,0.7
1151,wikipedia,1,0.8
1213,wikipedia,1,0.8
1311,wikipedia,1,0.8
1326,wikipedia,1,0.8
1339,wikipedia,1,0.8
1358,wikipedia,1,0.8
1501,wikipedia,1,0.8
1510,wikipedia,1,0.8
1521,wikipedia,2,0.8
1527,wikipedia,1,0.8
1549,wikipedia,1,0.8
1592,wikipedia,1,0.8
1594,wikipedia,1,0.8
1621,wikipedia,1,0.8
1622,wikipedia,1,0.8
1629,wikipedia,1,0.8
1643,wikipedia,1,0.8
1662,wikipedia,1,0.8
1680,wikipedia,1,0.8
1683,wikipedia,1,0.8
1696,wikipedia,1,0.8
1704,wikipedia,1,0.8
1712,wikipedia,1,0.8
1719,wikipedia,1,0.8
1732,wikipedia,1,0.8
1741,wikipedia,1,0.8
1745,wikipedia,1,0.8
1755,wikipedia,1,0.8
1757,wikipedia,1,0.8
1764,wikipedia,1,0.8
1767,wikipedia,2,0.8
1783,wikipedia,1,0.8
1804,wikipedia,1,0.8
1812,wikipedia,1,0.8
1813,wikipedia,1,0.8
1815,wikipedia,1,0.8
1816,wikipedia,1,0.8
1818,wikipedia,2,0.8
1820,wikipedia,2,0.8
1827,wikipedia,1,0.8
1838,wikipedia,1,0.8
1842,wikipedia,1,0.8
1844,wikipedia,1,0.8
1846,wikipedia,1,0.8
1858,wikipedia,1,0.8
1859,wikipedia,1,0.8
1860,wikipedia,1,0.8
1862,wikipedia,2,0.8
1867,wikipedia,1,0.8
1868,wikipedia,1,0.8
1869,wikipedia,1,0.8
1872,wikipedia,1,0.8
1874,wikipedia,1,0.8
1876,wikipedia,1,0.8
1877,wikipedia,1,0.8
1885,wikipedia,1,0.8
1886,wikipedia,2,0.8
1888,wikipedia,1,0.8
1891,wikipedia,1,0.8
1894,wikipedia,1,0.8
1895,wikipedia,2,0.8
1896,wikipedia,1,0.8
1898,wikipedia,1,0.8
1900,wikipedia,1,0.8
1901,wikipedia,1,0.8
1902,wikipedia,2,0.8
1903,wikipedia,1,0.8
1904,wikipedia,3,0.8000000000000002
1905,wikipedia,1,0.8
1906,wikipedia,1,0.8
1908,wikipedia,1,0.8
1912,wikipedia,3,0.8000000000000002
1913,wikipedia,2,0.8
1914,wikipedia,3,0.8000000000000002
1915,wikipedia,1,0.8
1918,wikipedia,1,0.8
1919,wikipedia,1,0.8
1920,wikipedia,1,0.8
1921,wikipedia,1,0.8
1923,wikipedia,4,0.8
1924,wikipedia,1,0.8
1925,wikipedia,3,0.8000000000000002
1926,wikipedia,1,0.8
1927,wikipedia,2,0.8
1928,wikipedia,1,0.8
1929,wikipedia,2,0.8
1930,wikipedia,1,0.8
1931,wikipedia,2,0.8
1932,wikipedia,4,0.8
1933,wikipedia,1,0.8
1935,wikipedia,2,0.8
